5352978	301-01-9	C23H34O2	342.5	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC	InChI=1S/C23H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23(24)25-2/h4-5,7-8,10-11,13-14,16-17,19-20H,3,6,9,12,15,18,21-22H2,1-2H3/b5-4+,8-7+,11-10+,14-13+,17-16+,20-19+	VCDLWFYODNTQOT-DMGWNJAXSA-N	methyl (4E,7E,10E,13E,16E,19E)-docosa-4,7,10,13,16,19-hexaenoate	cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester
51720	72918-21-9	C12H2Cl6O	374.9	C1=C2C(=C(C(=C1Cl)Cl)Cl)C3=C(C(=C(C=C3O2)Cl)Cl)Cl	InChI=1S/C12H2Cl6O/c13-3-1-5-7(11(17)9(3)15)8-6(19-5)2-4(14)10(16)12(8)18/h1-2H	PYUSJFJVDVSXIU-UHFFFAOYSA-N	1,2,3,7,8,9-hexachlorodibenzofuran	1,2,3,7,8,9-Hexachlorodibenzofuran
41510	55673-89-7	C12HCl7O	409.3	C1=C2C(=C(C(=C1Cl)Cl)Cl)C3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl	InChI=1S/C12HCl7O/c13-2-1-3-4(7(15)6(2)14)5-8(16)9(17)10(18)11(19)12(5)20-3/h1H	VEZCTZWLJYWARH-UHFFFAOYSA-N	1,2,3,4,7,8,9-heptachlorodibenzofuran	1,2,3,4,7,8,9-Heptachlorodibenzofuran
37036	35065-29-3	C12H3Cl7	395.3	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl	InChI=1S/C12H3Cl7/c13-6-3-8(15)7(14)1-4(6)5-2-9(16)11(18)12(19)10(5)17/h1-3H	WBHQEUPUMONIKF-UHFFFAOYSA-N	1,2,3,4-tetrachloro-5-(2,4,5-trichlorophenyl)benzene	PCB 180
9942483	123620-80-4	C13H19NO	205.3	CC(C(C1=CC=CC=C1)O)N2CCCC2	InChI=1S/C13H19NO/c1-11(14-9-5-6-10-14)13(15)12-7-3-2-4-8-12/h2-4,7-8,11,13,15H,5-6,9-10H2,1H3/t11-,13-/m1/s1	FZVHJGJBJLFWEX-DGCLKSJQSA-N	(1S,2R)-1-phenyl-2-pyrrolidin-1-ylpropan-1-ol	(1S,2R)-1-Phenyl-2-pyrrolidin-1-yl-propan-1-ol
162738190	92857-33-5	C15H28O2	240.382	CCCCC=CCCCCCCCC(=O)OC			Methyl myristoleate	Methyl myristoleate
643801	1120-25-8	C17H32O2	268.435	CCCCCCC=CCCCCCCCC(=O)OC	InChI=1S/C17H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h8-9H,3-7,10-16H2,1-2H3/b9-8-	IZFGRAGOVZCUFB-HJWRWDBZSA-N	methyl (Z)-hexadec-9-enoate	Methyl palmitoleate
5280590	1937-62-8	C19H36O2	296.488	CCCCCCCCC=CCCCCCCCC(=O)OC	InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h10-11H,3-9,12-18H2,1-2H3/b11-10+	QYDYPVFESGNLHU-ZHACJKMWSA-N	methyl (E)-octadec-9-enoate	trans-9-Elaidic acid methyl ester
5364509	112-62-9	C19H36O2	296.488	CCCCCCCC/C=C\\CCCCCCCC(=O)OC	InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h10-11H,3-9,12-18H2,1-2H3/b11-10-	QYDYPVFESGNLHU-KHPPLWFESA-N	methyl (Z)-octadec-9-enoate	cis-9-Oleic acid methyl ester
6439889	16326-32-2	C19H32O2	292.456	CCCCCC=CCC=CCC=CCCCCC(=O)OC	InChI=1S/C19H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h7-8,10-11,13-14H,3-6,9,12,15-18H2,1-2H3/b8-7-,11-10-,14-13-	JFRWATCOFCPIBM-JPFHKJGASA-N	methyl (6Z,9Z,12Z)-octadeca-6,9,12-trienoate	Gamma-Methyl linolenate
