Name,RT,width
C9,2.517,0.452
C10,4.559,0.654
C11,7.148,0.801
C12,9.938,0.872
C13,12.718,0.918
C14,15.398,0.926
C15,17.954,0.944
C16,20.387,0.936
C17,22.701,0.940
C18,24.903,0.951
C19,27.006,0.956
C20,29.018,0.988
C21,30.888,0.657
C22,31.903,0.466
C23,32.634,0.391
C24,33.232,0.380
C25,33.753,0.343
C26,34.224,0.333
C27,34.657,0.327
C28,35.065,0.311
C29,35.450,0.318
C30,35.820,0.306
