Name,RT,width
C9,2.519,0.431
C10,4.560,0.624
C11,7.149,0.755
C12,9.940,0.826
C13,12.719,0.868
C14,15.399,0.896
C15,17.954,0.936
C16,20.387,0.946
C17,22.700,0.949
C18,24.904,0.949
C19,27.007,0.963
C20,29.016,0.981
C21,30.942,0.976
C22,32.786,0.965
C23,34.559,0.977
C24,36.263,0.991
C25,37.826,1.01
C26,39.423,0.969
C27,40.945,0.941
C28,42.428,0.984
C29,43.861,0.968
C30,45.249,0.978
