Name,RT,width
C9,2.305,0.345
C10,3.699,0.428
C11,5.222,0.467
C12,6.737,0.487
C13,8.193,0.496
C14,9.577,0.499
C15,10.888,0.504
C16,12.132,0.505
C17,13.314,0.512
C18,14.438,0.516
C19,15.511,0.527
C20,16.536,0.511
C21,17.518,0.518
C22,18.458,0.525
C23,19.362,0.528
C24,20.230,0.555
C25,21.066,0.545
C26,21.871,0.532
C27,22.649,0.550
C28,23.399,0.549
C29,24.126,0.560
C30,24.829,0.558
