Deltat;T;DeltaT;pinj;pdet
0;49.323;-2.829;253.28948;230.16887
0.05;49.323;-2.829;253.28948;230.16887
0.04;49.077;-2.583;253.27161;230.20582
0.05;49.323;-2.829;253.28948;230.16887
0.04;49.323;-2.829;253.28948;230.16887
0.05;49.077;-2.337;253.27161;230.20582
0.05;49.077;-2.337;253.27161;230.20582
0.04;49.323;-2.583;253.28948;230.16887
0.05;49.077;-2.583;253.27161;230.20582
0.04;49.077;-2.337;253.27161;230.20582
0.05;49.077;-2.583;253.27161;230.20582
0.04;48.954;-2.583;253.26267;230.2243
0.05;48.831;-2.337;253.25372;230.24279
0.05;49.077;-2.706;253.27161;230.20582
0.04;49.077;-2.583;253.27161;230.20582
0.05;48.954;-2.46;253.26267;230.2243
0.04;49.077;-2.706;253.27161;230.20582
0.05;49.077;-2.706;253.27161;230.20582
0.04;48.831;-2.46;253.25372;230.24279
0.05;49.077;-2.583;253.27161;230.20582
0.05;48.954;-2.46;253.26267;230.2243
0.04;48.954;-2.46;253.26267;230.2243
0.05;48.954;-2.46;253.26267;230.2243
0.04;49.077;-2.337;253.27161;230.20582
0.05;48.954;-2.091;253.26267;230.2243
0.05;48.954;-2.214;253.26267;230.2243
0.04;48.954;-2.214;253.26267;230.2243
0.05;49.077;-2.214;253.27161;230.20582
0.04;49.077;-2.337;253.27161;230.20582
0.05;48.954;-2.46;253.26267;230.2243
0.04;48.954;-2.46;253.26267;230.2243
0.05;48.954;-2.214;253.26267;230.2243
0.05;49.077;-2.337;253.27161;230.20582
0.04;49.323;-2.829;253.28948;230.16887
0.05;49.323;-2.829;253.28948;230.16887
0.05;49.569;-2.829;253.30732;230.13196
0.04;49.323;-2.583;253.28948;230.16887
0.05;49.323;-2.583;253.28948;230.16887
0.04;49.323;-2.829;253.28948;230.16887
0.05;49.323;-2.952;253.28948;230.16887
0.04;49.323;-2.829;253.28948;230.16887
0.05;48.954;-2.46;253.26267;230.2243
0.05;48.954;-2.46;253.26267;230.2243
0.04;49.077;-2.337;253.27161;230.20582
0.05;49.077;-2.583;253.27161;230.20582
0.04;49.077;-2.337;253.27161;230.20582
0.05;49.077;-2.214;253.27161;230.20582
0.05;49.077;-2.091;253.27161;230.20582
0.04;49.077;-2.214;253.27161;230.20582
0.05;49.077;-2.337;253.27161;230.20582
0.04;49.077;-2.583;253.27161;230.20582
0.05;48.954;-2.46;253.26267;230.2243
0.04;49.323;-2.829;253.28948;230.16887
0.05;49.323;-2.829;253.28948;230.16887
0.05;49.323;-2.829;253.28948;230.16887
0.04;49.077;-2.337;253.27161;230.20582
0.05;49.077;-2.583;253.27161;230.20582
0.05;49.323;-2.829;253.28948;230.16887
0.04;49.323;-2.829;253.28948;230.16887
0.04;49.077;-2.337;253.27161;230.20582
0.05;49.077;-2.337;253.27161;230.20582
0.05;48.954;-2.214;253.26267;230.2243
0.04;48.954;-2.214;253.26267;230.2243
0.05;49.323;-2.46;253.28948;230.16887
0.05;49.323;-2.583;253.28948;230.16887
0.04;48.954;-2.214;253.26267;230.2243
0.05;48.954;-2.091;253.26267;230.2243
0.04;49.077;-2.214;253.27161;230.20582
0.05;49.077;-2.091;253.27161;230.20582
0.04;49.323;-2.337;253.28948;230.16887
0.05;49.446;-2.46;253.2984;230.15041
0.05;49.446;-2.337;253.2984;230.15041
0.04;49.569;-2.46;253.30732;230.13196
0.05;49.692;-2.583;253.31624;230.11352
0.04;49.692;-2.706;253.31624;230.11352
0.05;49.569;-2.583;253.30732;230.13196
0.05;49.692;-2.706;253.31624;230.11352
0.04;49.446;-2.46;253.2984;230.15041
