Alkane,tR_s,width_ms
C9,,
C10,,
C11,9.90826,119.696
C12,14.20827,70.91122
C13,17.30826,65.12797
C14,20.12826,61.92759
C15,22.74826,63.50792
C16,25.12826,57.67658
C17,27.26826,59.13284
C18,29.26826,61.08129
C19,31.12826,61.19212
C20,32.86827,60.2442
C21,34.48826,61.31601
C22,36.02827,61.9539
C23,37.52826,63.0647
C24,38.96827,67.15479
C25,40.38826,69.42494
C26,41.76826,69.97787
C27,43.06826,72.57546
C28,44.36826,78.04644
C29,45.64826,84.88458
C30,46.88826,89.80881
