Time,Intensity
0.13247,6863
0.1328,6528
0.13314,6351
0.13347,5844
0.1338,6041
0.13414,6481
0.13447,6994
0.1348,6827
0.13514,5971
0.13547,6081
0.1358,5867
0.13614,7195
0.13647,6092
0.1368,6124
0.13714,6149
0.13747,6441
0.1378,6626
0.13814,6432
0.13847,5644
0.1388,5916
0.13914,6120
0.13947,5890
0.1398,6426
0.14014,7157
0.14047,7188
0.1408,6942
0.14114,8258
0.14147,8379
0.1418,8351
0.14214,9478
0.14247,8748
0.1428,8774
0.14314,8167
0.14347,7905
0.1438,7911
0.14414,7442
0.14447,6539
0.1448,6490
0.14514,6424
0.14547,7415
0.1458,6575
0.14614,5891
0.14647,5925
0.1468,5853
0.14714,5939
0.14747,6717
0.1478,6404
0.14814,6155
0.14847,5897
0.1488,5449
0.14914,5798
0.14947,5860
0.1498,5704
0.15014,5995
0.15047,6383
0.1508,5791
0.15114,5775
0.15147,5714
0.1518,5909
0.15214,5948
0.15247,5946
0.1528,5677
0.15314,5547
0.15347,5445
0.1538,6054
0.15414,5700
0.15447,5179
0.1548,5376
0.15514,5877
0.15547,6283
0.1558,5484
0.15614,5580
0.15647,5629
0.1568,5054
0.15714,6385
0.15747,5787
0.1578,5378
0.15814,5310
0.15847,5339
0.1588,5978
0.15914,6224
0.15947,6388
0.1598,6362
0.16014,5457
0.16047,5489
0.1608,5171
0.16114,5879
0.16147,6140
0.1618,5825
0.16214,5737
0.16247,5745
0.1628,5860
0.16314,6390
0.16347,5743
0.1638,5717
0.16414,5541
0.16447,6292
0.1648,7345
0.16514,7252
0.16547,8306
0.1658,9667
0.16614,11102
0.16647,14317
0.1668,14947
0.16714,16615
0.16747,17145
0.1678,17500
0.16814,17453
0.16847,17008
0.1688,15754
0.16914,13819
0.16947,13306
0.1698,11998
0.17014,10149
0.17047,9557
0.1708,8428
0.17114,7805
0.17147,8438
0.1718,6789
0.17214,6466
0.17247,6394
0.1728,6677
0.17314,6970
0.17347,6003
0.1738,6292
0.17414,5964
0.17447,6111
0.1748,6536
0.17514,5712
0.17547,6568
0.1758,6153
0.17614,6129
0.17647,7011
0.1768,5392
0.17714,5678
0.17747,5373
0.1778,5509
0.17814,5260
0.17847,6274
0.1788,6099
0.17914,5748
0.17947,5163
0.1798,5147
0.18014,5562
0.18047,6231
0.1808,6406
0.18114,6127
0.18147,6723
0.1818,6296
0.18214,6628
0.18247,7518
0.1828,7380
0.18314,7724
0.18347,7961
0.1838,8301
0.18414,7623
0.18447,7378
0.1848,6986
0.18514,6399
0.18547,5895
0.1858,6445
0.18614,6658
0.18647,6504
0.1868,5402
0.18714,5579
0.18747,5599
0.1878,5416
0.18814,5119
0.18847,5341
0.1888,5489
0.18914,6135
0.18947,4921
0.1898,5079
0.19014,5153
0.19047,5615
0.1908,5951
0.19114,5212
0.19147,5496
0.1918,5755
0.19214,5332
0.19247,6453
0.1928,5144
0.19314,5610
0.19347,5190
0.1938,5773
0.19414,5777
0.19447,4866
0.1948,5380
0.19514,4936
0.19547,5775
0.1958,6026
0.19614,4986
0.19647,5570
0.1968,5184
0.19714,5307
0.19747,5769
0.1978,5431
0.19814,4989
0.19847,4596
0.1988,4943
0.19914,5019
0.19947,5195
0.1998,4878
0.20014,5125
0.20047,5612
0.2008,5379
0.20114,5291
0.20147,5090
0.2018,5396
0.20214,4591
0.20247,5531
0.2028,5882
0.20314,5287
0.20347,4866
0.2038,4547
0.20414,4857
0.20447,4960
0.2048,4996
0.20514,5121
0.20547,5536
0.2058,5535
0.20614,5389
0.20647,5086
0.2068,5162
0.20714,4977
0.20747,4902
0.2078,4898
0.20814,5343
0.20847,5869
0.2088,4667
0.20914,5306
0.20947,4853
0.2098,5289
0.21014,5623
0.21047,5043
0.2108,5197
0.21114,5356
0.21147,5364
0.2118,6024
0.21214,4948
0.21247,5573
0.2128,5071
0.21314,5825
0.21347,5549
0.2138,4977
0.21414,5337
0.21447,5151
0.2148,5394
0.21514,5782
0.21547,4959
0.2158,5223
0.21614,4688
0.21647,5382
0.2168,6215
0.21714,5215
0.21747,4975
0.2178,4891
0.21814,5481
0.21847,5874
0.2188,4841
0.21914,4972
0.21947,5257
0.2198,4983
0.22014,6288
0.22047,5154
0.2208,5326
0.22114,5427
0.22147,4955
0.2218,6010
0.22214,5034
0.22247,4945
0.2228,4790
0.22314,5246
0.22347,4939
0.2238,5566
0.22414,5581
0.22447,5476
0.2248,5138
0.22514,5308
0.22547,4918
0.2258,4828
0.22614,4764
0.22647,5292
0.2268,5998
0.22714,5495
0.22747,5346
0.2278,5077
0.22814,5062
0.22847,4679
0.2288,5456
0.22914,5625
0.22947,5574
0.2298,5191
0.23014,5108
0.23047,5157
0.2308,5684
0.23114,5795
0.23147,5100
0.2318,5022
0.23214,4769
0.23247,5158
0.2328,5998
0.23314,5291
0.23347,4840
0.2338,4673
0.23414,5364
0.23447,6044
0.2348,4847
0.23514,4800
0.23547,5096
0.2358,5403
0.23614,5864
0.23647,5183
0.2368,5150
0.23714,4523
0.23747,4899
0.2378,5134
0.23814,5016
0.23847,5773
0.2388,5869
0.23914,5509
0.23947,5174
0.2398,4961
0.24014,4798
0.24047,4762
0.2408,4939
0.24114,4869
0.24147,5888
0.2418,6022
0.24214,5505
0.24247,4850
0.2428,5151
0.24314,5190
0.24347,5209
0.2438,5769
0.24414,7457
0.24447,10379
0.2448,12152
0.24514,15923
0.24547,19147
0.2458,23150
0.24614,24161
0.24647,23746
0.2468,21631
0.24714,18772
0.24747,15815
0.2478,13384
0.24814,10946
0.24847,9304
0.2488,8316
0.24914,7127
0.24947,6259
0.2498,5556
0.25014,6529
0.25047,5979
0.2508,5959
0.25114,5223
0.25147,5450
0.2518,5836
0.25214,6014
0.25247,5117
0.2528,4671
0.25314,4903
0.25347,5418
0.2538,5513
0.25414,5088
0.25447,4989
0.2548,4646
0.25514,5149
0.25547,5283
0.2558,5953
0.25614,4951
0.25647,4941
0.2568,4617
0.25714,5096
0.25747,5199
0.2578,5143
0.25814,4754
0.25847,4822
0.2588,5505
0.25914,5592
0.25947,4930
0.2598,5087
0.26014,4943
0.26047,5699
0.2608,5597
0.26114,5295
0.26147,4880
0.2618,4755
0.26214,4913
0.26247,4818
0.2628,4696
0.26314,5192
0.26347,5661
0.2638,5158
0.26414,4691
0.26447,4975
0.2648,4878
0.26514,5732
0.26547,5182
0.2658,4804
0.26614,4805
0.26647,5037
0.2668,4855
0.26714,4613
0.26747,5340
0.2678,5292
0.26814,5337
0.26847,4612
0.2688,4632
0.26914,4938
0.26947,5538
0.2698,5171
0.27014,4640
0.27047,4608
0.2708,4522
0.27114,5482
0.27147,5451
0.2718,4917
0.27214,4537
0.27247,4777
0.2728,5322
0.27314,5570
0.27347,4707
0.2738,4640
0.27414,4724
0.27447,5816
0.2748,6410
0.27514,6418
0.27547,6321
0.2758,6876
0.27614,6288
0.27647,6365
0.2768,7051
0.27714,6927
0.27747,6260
0.2778,5591
0.27814,5930
0.27847,5293
0.2788,5479
0.27914,5154
0.27947,6028
0.2798,6187
0.28014,5312
0.28047,5410
0.2808,5338
0.28114,5211
0.28147,5438
0.2818,5571
0.28214,5735
0.28247,6188
0.2828,6408
0.28314,5870
0.28347,4774
0.2838,5849
0.28414,5170
0.28447,5127
0.2848,6021
0.28514,5618
0.28547,5046
0.2858,5187
0.28614,5037
0.28647,5747
0.2868,5885
0.28714,5591
0.28747,4921
0.2878,5312
0.28814,4873
0.28847,5700
0.2888,6298
0.28914,5259
0.28947,4986
0.2898,5075
0.29014,5922
0.29047,5612
0.2908,5455
0.29114,5132
0.29147,5119
0.2918,5976
0.29214,6335
0.29247,5980
0.2928,6288
0.29314,6535
0.29347,6052
0.2938,6853
0.29414,6447
0.29447,7177
0.2948,6239
0.29514,5603
0.29547,5616
0.2958,4940
0.29614,5418
0.29647,6080
0.2968,6003
0.29714,5709
0.29747,5024
0.2978,5426
0.29814,5941
0.29847,5509
0.2988,5378
0.29914,5292
0.29947,5352
0.2998,5934
0.30014,5616
0.30047,5129
0.3008,5099
0.30114,5135
0.30147,6042
0.3018,7856
0.30214,11226
0.30247,15982
0.3028,23009
0.30314,30575
0.30347,34152
0.3038,37464
0.30414,34391
0.30447,29807
0.3048,23848
0.30514,17255
0.30547,12664
0.3058,10313
0.30614,8254
0.30647,7670
0.3068,6308
0.30714,5569
0.30747,5725
0.3078,5655
0.30814,5891
0.30847,5543
0.3088,5296
0.30914,5209
0.30947,5424
0.3098,5463
0.31014,4928
0.31047,4756
0.3108,4801
0.31114,4866
0.31147,5994
0.3118,5687
0.31214,4726
0.31247,5042
0.3128,4738
0.31314,5184
0.31347,5599
0.3138,5665
0.31414,5160
0.31447,4927
0.3148,5003
0.31514,5096
0.31547,5384
0.3158,5011
0.31614,4779
0.31647,4823
0.3168,4984
0.31714,5544
0.31747,5121
0.3178,4628
0.31814,4514
0.31847,4610
0.3188,5229
0.31914,5600
0.31947,4976
0.3198,4600
0.32014,4811
0.32047,5469
0.3208,5750
0.32114,4860
0.32147,4842
0.3218,4587
0.32214,4537
0.32247,4602
0.3228,4736
0.32314,5500
0.32347,5029
0.3238,4899
0.32414,4712
0.32447,4847
0.3248,4474
0.32514,4972
0.32547,5616
0.3258,5477
0.32614,4502
0.32647,4811
0.3268,4789
0.32714,5167
0.32747,5064
0.3278,4716
0.32814,4644
0.32847,4492
0.3288,5132
0.32914,5359
0.32947,4409
0.3298,4811
0.33014,4748
0.33047,5473
0.3308,5414
0.33114,4823
0.33147,4831
0.3318,4947
0.33214,4689
0.33247,4622
0.3328,5496
0.33314,5875
0.33347,4739
0.3338,4955
0.33414,4942
0.33447,4901
0.3348,5876
0.33514,4732
0.33547,4483
0.3358,4478
0.33614,4531
0.33647,4655
0.3368,4611
0.33714,4348
0.33747,4479
0.3378,5226
0.33814,4908
0.33847,4604
0.3388,4467
0.33914,4752
0.33947,4675
0.3398,4861
0.34014,5495
0.34047,5279
0.3408,4742
0.34114,4582
0.34147,4621
0.3418,4682
0.34214,4910
0.34247,4396
0.3428,4579
0.34314,4938
0.34347,4799
0.3438,4543
0.34414,4800
0.34447,4994
0.3448,5531
0.34514,4750
0.34547,4344
0.3458,5328
0.34614,4451
0.34647,5669
0.3468,4692
0.34714,4561
0.34747,4735
0.3478,5340
0.34814,6793
0.34847,8443
0.3488,12617
0.34914,19567
0.34947,28648
0.3498,39640
0.35014,45542
0.35047,47528
0.3508,41198
0.35114,33545
0.35147,25348
0.3518,18696
0.35214,13527
0.35247,9114
0.3528,6946
0.35314,6342
0.35347,5729
0.3538,4823
0.35414,5394
0.35447,5716
0.3548,4764
0.35514,4724
0.35547,4767
0.3558,4979
0.35614,4469
0.35647,4801
0.3568,5363
0.35714,5475
0.35747,4899
0.3578,4290
0.35814,4794
0.35847,4378
0.3588,4810
0.35914,5297
0.35947,5370
0.3598,4998
0.36014,4900
0.36047,5484
0.3608,5924
0.36114,6740
0.36147,7103
0.3618,7305
0.36214,7860
0.36247,8428
0.3628,7151
0.36314,6912
0.36347,6039
0.3638,5992
0.36414,6683
0.36447,5229
0.3648,4803
0.36514,4519
0.36547,4552
0.3658,5273
0.36614,4748
0.36647,4230
0.3668,4338
0.36714,4781
0.36747,5055
0.3678,3978
0.36814,4036
0.36847,4033
0.3688,4610
0.36914,4830
0.36947,4156
0.3698,4107
0.37014,4376
0.37047,3996
0.3708,4656
0.37114,4480
0.37147,4384
0.3718,3862
0.37214,3858
0.37247,4251
0.3728,4245
0.37314,4234
0.37347,4723
0.3738,4616
0.37414,4485
0.37447,3883
0.3748,3930
0.37514,3768
