time_s,ordinate_values
2.58,1E-5
2.59,1.2E-5
2.6,1.3E-5
2.61,1.3E-5
2.62,1.2E-5
2.63,1E-5
2.64,7E-6
2.65,4E-6
2.66,1E-6
2.67,-1E-6
2.68,-3E-6
2.69,-5E-6
2.7,-6E-6
2.71,-6E-6
2.72,-6E-6
2.73,-5E-6
2.74,-3E-6
2.75,-2E-6
2.76,0
2.77,0
2.78,1E-6
2.79,2E-6
2.8,4E-6
2.81,5E-6
2.82,6E-6
2.83,7E-6
2.84,7E-6
2.85,8E-6
2.86,8E-6
2.87,8E-6
2.88,8E-6
2.89,9E-6
2.9,9E-6
2.91,8E-6
2.92,7E-6
2.93,5E-6
2.94,3E-6
2.95,1E-6
2.96,0
2.97,0
2.98,0
2.99,0
3,1E-6
3.01,3E-6
3.02,4E-6
3.03,4E-6
3.04,4E-6
3.05,4E-6
3.06,4E-6
3.07,3E-6
3.08,2E-6
3.09,1E-6
3.1,0
3.11,0
3.12,-1E-6
3.13,-2E-6
3.14,-4E-6
3.15,-5E-6
3.16,-5E-6
3.17,-5E-6
3.18,-3E-6
3.19,-2E-6
3.2,0
3.21,0
3.22,0
3.23,-1E-6
3.24,-3E-6
3.25,-4E-6
3.26,-3E-6
3.27,-2E-6
3.28,0
3.29,2E-6
3.3,4E-6
3.31,5E-6
3.32,5E-6
3.33,5E-6
3.34,5E-6
3.35,5E-6
3.36,5E-6
3.37,4E-6
3.38,3E-6
3.39,2E-6
3.4,0
3.41,0
3.42,0
3.43,0
3.44,0
3.45,0
3.46,0
3.47,-2E-6
3.48,-5E-6
3.49,-6E-6
3.5,-6E-6
3.51,-3E-6
3.52,0
3.53,4E-6
3.54,7E-6
3.55,8E-6
3.56,7E-6
3.57,5E-6
3.58,3E-6
3.59,1E-6
3.6,0
3.61,-1E-6
3.62,-2E-6
3.63,-2E-6
3.64,-3E-6
3.65,-3E-6
3.66,-2E-6
3.67,0
3.68,1E-6
3.69,3E-6
3.7,5E-6
3.71,5E-6
3.72,4E-6
3.73,3E-6
3.74,2E-6
3.75,2E-6
3.76,3E-6
3.77,4E-6
3.78,5E-6
3.79,6E-6
3.8,6E-6
3.81,6E-6
3.82,5E-6
3.83,5E-6
3.84,4E-6
3.85,4E-6
3.86,4E-6
3.87,4E-6
3.88,4E-6
3.89,5E-6
3.9,6E-6
3.91,7E-6
3.92,9E-6
3.93,1.1E-5
3.94,1.2E-5
3.95,1.3E-5
3.96,1.2E-5
3.97,1.1E-5
3.98,8E-6
3.99,5E-6
4,2E-6
4.01,1E-6
4.02,0
4.03,0
4.04,1E-6
4.05,1E-6
4.06,1E-6
4.07,0
4.08,0
4.09,0
4.1,0
4.11,1E-6
4.12,2E-6
4.13,2E-6
4.14,2E-6
4.15,0
4.16,0
4.17,-1E-6
4.18,-2E-6
4.19,-1E-6
4.2,-1E-6
4.21,-2E-6
4.22,-3E-6
4.23,-4E-6
4.24,-5E-6
4.25,-5E-6
4.26,-5E-6
4.27,-4E-6
4.28,-4E-6
4.29,-4E-6
4.3,-5E-6
4.31,-7E-6
4.32,-8E-6
4.33,-7E-6
4.34,-4E-6
4.35,1E-6
4.36,6E-6
4.37,1.1E-5
4.38,1.2E-5
4.39,1.2E-5
4.4,9E-6
4.41,5E-6
4.42,3E-6
4.43,4E-6
4.44,6E-6
4.45,9E-6
4.46,1.2E-5
4.47,1.4E-5
4.48,1.4E-5
4.49,1.3E-5
4.5,1.4E-5
4.51,1.7E-5
4.52,2.2E-5
4.53,3E-5
4.54,3.8E-5
4.55,4.5E-5
4.56,5E-5
4.57,5.3E-5
4.58,5.3E-5
4.59,5.1E-5
4.6,4.7E-5
4.61,4.2E-5
4.62,3.5E-5
4.63,2.7E-5
4.64,1.8E-5
4.65,1E-5
4.66,3E-6
4.67,0
4.68,-3E-6
4.69,-6E-6
4.7,-8E-6
4.71,-1E-5
4.72,-1.1E-5
4.73,-1.1E-5
4.74,-1E-5
4.75,-8E-6
4.76,-7E-6
4.77,-7E-6
4.78,-6E-6
4.79,-5E-6
4.8,-3E-6
4.81,0
4.82,3E-6
4.83,5E-6
4.84,6E-6
4.85,5E-6
4.86,5E-6
4.87,7E-6
4.88,1.1E-5
4.89,1.8E-5
4.9,2.4E-5
4.91,2.8E-5
4.92,2.9E-5
4.93,2.6E-5
4.94,2.1E-5
4.95,1.5E-5
4.96,1.1E-5
4.97,9E-6
4.98,8E-6
4.99,7E-6
5,6E-6
5.01,4E-6
5.02,2E-6
5.03,1E-6
5.04,2E-6
5.05,5E-6
5.06,8E-6
5.07,1.1E-5
5.08,1.3E-5
5.09,1.2E-5
5.1,1E-5
5.11,8E-6
5.12,7E-6
5.13,9E-6
5.14,1.3E-5
5.15,1.9E-5
5.16,2.5E-5
5.17,2.8E-5
5.18,2.8E-5
5.19,2.5E-5
5.2,2.1E-5
5.21,1.7E-5
5.22,1.5E-5
5.23,1.5E-5
5.24,1.6E-5
5.25,1.6E-5
5.26,1.6E-5
5.27,1.4E-5
5.28,1.1E-5
5.29,7E-6
5.3,2E-6
5.31,-1E-6
5.32,-6E-6
5.33,-9E-6
5.34,-1.2E-5
5.35,-1.2E-5
5.36,-1.2E-5
5.37,-1E-5
5.38,-8E-6
5.39,-6E-6
5.4,-4E-6
5.41,-2E-6
5.42,0
5.43,3E-6
5.44,6E-6
5.45,1E-5
5.46,1.4E-5
5.47,1.6E-5
5.48,1.8E-5
5.49,2E-5
5.5,2.3E-5
5.51,2.6E-5
5.52,2.9E-5
5.53,3.2E-5
5.54,3.2E-5
5.55,3.1E-5
5.56,2.7E-5
5.57,2.2E-5
5.58,1.7E-5
5.59,1.4E-5
5.6,1.2E-5
5.61,1.1E-5
5.62,1.1E-5
5.63,1E-5
5.64,8E-6
5.65,6E-6
5.66,4E-6
5.67,3E-6
5.68,4E-6
5.69,6E-6
5.7,8E-6
5.71,1E-5
5.72,1.1E-5
5.73,1.2E-5
5.74,1.4E-5
5.75,1.7E-5
5.76,2.2E-5
5.77,2.8E-5
5.78,3.5E-5
5.79,4E-5
5.8,4.4E-5
5.81,4.6E-5
5.82,4.6E-5
5.83,4.4E-5
5.84,4.1E-5
5.85,3.7E-5
5.86,3.1E-5
5.87,2.3E-5
5.88,1.3E-5
5.89,3E-6
5.9,-5E-6
5.91,-1.2E-5
5.92,-1.7E-5
5.93,-1.9E-5
5.94,-2E-5
5.95,-2E-5
5.96,-2.1E-5
5.97,-2.3E-5
5.98,-2.4E-5
5.99,-2.3E-5
6,-2E-5
6.01,-1.4E-5
6.02,-7E-6
6.03,-2E-6
6.04,1E-6
6.05,2E-6
6.06,3E-6
6.07,4E-6
6.08,7E-6
6.09,1.3E-5
6.1,2E-5
6.11,2.7E-5
6.12,3.2E-5
6.13,3.4E-5
6.14,3.3E-5
6.15,3E-5
6.16,2.8E-5
6.17,2.7E-5
6.18,2.7E-5
6.19,2.8E-5
6.2,2.7E-5
6.21,2.4E-5
6.22,1.9E-5
6.23,1.4E-5
6.24,9E-6
6.25,7E-6
6.26,6E-6
6.27,7E-6
6.28,8E-6
6.29,7E-6
6.3,4E-6
6.31,0
6.32,-7E-6
6.33,-1.4E-5
6.34,-2E-5
6.35,-2.5E-5
6.36,-2.7E-5
6.37,-2.8E-5
6.38,-2.7E-5
6.39,-2.5E-5
6.4,-2.4E-5
6.41,-2.3E-5
6.42,-2.3E-5
6.43,-2.3E-5
6.44,-2.2E-5
6.45,-2E-5
6.46,-1.7E-5
6.47,-1.4E-5
6.48,-1.1E-5
6.49,-9E-6
6.5,-8E-6
6.51,-7E-6
6.52,-7E-6
6.53,-7E-6
6.54,-6E-6
6.55,-5E-6
6.56,-4E-6
6.57,-2E-6
6.58,-2E-6
6.59,-1E-6
6.6,-1E-6
6.61,-2E-6
6.62,-3E-6
6.63,-5E-6
6.64,-7E-6
6.65,-9E-6
6.66,-1E-5
6.67,-1.1E-5
6.68,-1E-5
6.69,-9E-6
6.7,-7E-6
6.71,-5E-6
6.72,-3E-6
6.73,0
6.74,1E-6
6.75,3E-6
6.76,4E-6
6.77,5E-6
6.78,7E-6
6.79,9E-6
6.8,1.3E-5
6.81,1.7E-5
6.82,2.2E-5
6.83,2.8E-5
6.84,3.3E-5
6.85,3.6E-5
6.86,3.7E-5
6.87,3.6E-5
6.88,3.2E-5
6.89,2.6E-5
6.9,1.9E-5
6.91,1.2E-5
6.92,5E-6
6.93,-1E-6
6.94,-8E-6
6.95,-1.3E-5
6.96,-1.6E-5
6.97,-1.9E-5
6.98,-2E-5
6.99,-2.1E-5
7,-2.2E-5
7.01,-2.3E-5
7.02,-2.3E-5
7.03,-2.4E-5
7.04,-2.4E-5
7.05,-2.3E-5
7.06,-2.2E-5
7.07,-2.1E-5
7.08,-2E-5
7.09,-1.9E-5
7.1,-1.9E-5
7.11,-2.1E-5
7.12,-2.3E-5
7.13,-2.5E-5
7.14,-2.7E-5
7.15,-2.8E-5
7.16,-2.9E-5
7.17,-3E-5
7.18,-3E-5
7.19,-3E-5
7.2,-3E-5
7.21,-3E-5
7.22,-2.9E-5
7.23,-2.8E-5
7.24,-2.6E-5
7.25,-2.4E-5
7.26,-2.1E-5
7.27,-1.8E-5
7.28,-1.5E-5
7.29,-1.3E-5
7.3,-1.2E-5
7.31,-1.1E-5
7.32,-1.1E-5
7.33,-1E-5
7.34,-8E-6
7.35,-7E-6
7.36,-5E-6
7.37,-4E-6
7.38,-3E-6
