Deltat;T;DeltaT;pinj;pdet
0.05;73.923;39.729;254.98328;226.64518
0.05;73.8;39.852;254.97526;226.66197
0.04;73.677;39.975;254.96723;226.67878
0.05;73.554;40.098;254.9592;226.69559
0.04;73.8;39.975;254.97526;226.66197
0.05;73.8;39.852;254.97526;226.66197
0.05;73.8;39.852;254.97526;226.66197
0.04;73.923;39.729;254.98328;226.64518
0.05;73.8;39.852;254.97526;226.66197
0.05;73.8;39.852;254.97526;226.66197
0.04;73.8;39.852;254.97526;226.66197
0.05;73.8;39.852;254.97526;226.66197
0.04;73.677;40.098;254.96723;226.67878
0.05;73.554;40.098;254.9592;226.69559
0.05;73.431;40.344;254.95116;226.71241
0.04;73.554;40.344;254.9592;226.69559
0.05;73.554;40.344;254.9592;226.69559
0.04;73.677;40.221;254.96723;226.67878
0.05;73.8;40.098;254.97526;226.66197
0.04;73.677;40.221;254.96723;226.67878
0.05;73.8;40.221;254.97526;226.66197
0.05;73.923;39.852;254.98328;226.64518
0.04;73.923;39.852;254.98328;226.64518
0.05;73.8;40.098;254.97526;226.66197
0.05;73.923;39.975;254.98328;226.64518
0.04;73.923;40.098;254.98328;226.64518
0.05;74.046;39.852;254.9913;226.62839
0.04;74.046;39.852;254.9913;226.62839
0.05;74.046;39.729;254.9913;226.62839
0.05;73.923;39.852;254.98328;226.64518
0.04;73.8;39.852;254.97526;226.66197
0.05;73.8;39.852;254.97526;226.66197
0.05;73.677;39.975;254.96723;226.67878
0.04;73.677;40.098;254.96723;226.67878
0.05;73.677;40.098;254.96723;226.67878
0.04;73.554;40.098;254.9592;226.69559
0.05;73.431;40.221;254.95116;226.71241
0.05;73.431;40.098;254.95116;226.71241
0.04;73.677;39.975;254.96723;226.67878
0.05;73.677;40.098;254.96723;226.67878
0.04;73.677;40.098;254.96723;226.67878
0.05;73.8;40.221;254.97526;226.66197
0.04;73.8;40.344;254.97526;226.66197
0.05;73.923;40.098;254.98328;226.64518
0.05;73.8;40.221;254.97526;226.66197
0.04;73.8;40.344;254.97526;226.66197
0.05;74.046;39.975;254.9913;226.62839
0.05;73.923;40.098;254.98328;226.64518
0.04;73.8;40.098;254.97526;226.66197
0.05;73.923;39.975;254.98328;226.64518
0.04;74.046;39.852;254.9913;226.62839
0.05;74.046;39.975;254.9913;226.62839
0.05;74.046;39.852;254.9913;226.62839
0.04;73.8;40.098;254.97526;226.66197
0.05;73.923;39.975;254.98328;226.64518
0.05;73.923;39.852;254.98328;226.64518
0.04;73.923;39.852;254.98328;226.64518
0.05;73.923;39.729;254.98328;226.64518
0.04;73.923;39.729;254.98328;226.64518
0.05;73.8;39.729;254.97526;226.66197
0.04;73.8;39.729;254.97526;226.66197
0.05;73.554;39.852;254.9592;226.69559
0.05;73.677;39.852;254.96723;226.67878
0.04;73.677;39.852;254.96723;226.67878
0.05;73.677;39.852;254.96723;226.67878
0.04;73.677;39.852;254.96723;226.67878
0.05;73.8;39.729;254.97526;226.66197
0.05;73.8;39.729;254.97526;226.66197
0.04;73.923;39.606;254.98328;226.64518
0.05;73.8;39.852;254.97526;226.66197
0.05;73.677;40.098;254.96723;226.67878
0.04;73.8;39.975;254.97526;226.66197
0.05;73.677;40.098;254.96723;226.67878
0.04;73.8;39.975;254.97526;226.66197
0.05;73.8;39.975;254.97526;226.66197
0.05;73.923;39.852;254.98328;226.64518
0.04;73.923;39.729;254.98328;226.64518
0.05;74.046;39.729;254.9913;226.62839
0.05;74.046;40.098;254.9913;226.62839
0.04;74.292;39.975;255.00733;226.59483
0.05;74.538;40.098;255.02333;226.56131
0.04;74.784;40.221;255.03932;226.52782
0.05;75.276;40.344;255.07125;226.46094
0.05;75.645;40.467;255.09515;226.41086
0.04;76.014;40.467;255.11901;226.36085
0.05;76.383;40.59;255.14283;226.31092
0.05;76.875;40.59;255.17453;226.24446
0.04;77.244;40.713;255.19826;226.19469
0.05;77.367;40.713;255.20616;226.17812
0.04;77.613;40.836;255.22195;226.145
0.05;77.859;40.713;255.23773;226.11191
0.05;78.105;40.713;255.25348;226.07885
0.04;78.228;41.082;255.26135;226.06233
0.05;78.474;40.959;255.27708;226.02932
0.05;78.966;40.713;255.30849;225.9634
0.04;79.212;40.713;255.32417;225.93048
0.05;79.458;40.836;255.33983;225.8976
0.04;79.95;40.467;255.3711;225.83193
0.05;80.196;40.713;255.38671;225.79915
0.05;80.442;40.836;255.4023;225.76639
0.04;80.688;40.959;255.41788;225.73367
0.05;80.811;41.082;255.42566;225.71732
0.05;81.18;40.959;255.44898;225.66831
0.04;81.426;40.959;255.4645;225.63568
0.05;81.672;41.205;255.48001;225.60308
0.04;82.287;40.836;255.5187;225.52173
0.05;82.533;40.959;255.53415;225.48924
0.05;83.025;40.836;255.565;225.42436
0.04;83.271;40.713;255.58039;225.39197
0.05;83.517;40.59;255.59577;225.3596
0.05;83.763;40.59;255.61113;225.32727
0.04;84.009;40.344;255.62648;225.29497
0.05;84.009;40.467;255.62648;225.29497
0.04;84.255;40.467;255.64181;225.26271
0.05;84.624;40.344;255.66477;225.21436
0.05;84.87;40.467;255.68006;225.18217
0.04;85.239;40.344;255.70296;225.13395
0.05;85.608;40.221;255.72582;225.08579
0.05;85.977;40.221;255.74864;225.0377
